id,nameKo,nameEn,type,category,power,accuracy,priority,target,tags,tagLabels,lead,ace,setupSweeper,wall,pivot,hazardControl,revengeKiller,disruptor,support,descriptionKo,reason
aeroblast,에어로블라스트,Aeroblast,Flying,Special,100,95,0,any,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,2.7,1.3,0,0,0,0,0,0,공기의 소용돌이를 발사하여 공격한다. 급소에 맞기 쉽다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
afteryou,당신먼저,After You,Normal,Status,,필중,0,normal,,,0,0,0,0,0,0,0,0,0.8,상대의 행동을 도와서 자신이 행동한 뒤에 바로 움직일 수 있도록 한다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
agility,고속이동,Agility,Psychic,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,힘을 빼고 몸을 가볍게 해서 고속으로 움직인다. 자신의 스피드를 크게 올린다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
aircutter,에어커터,Air Cutter,Flying,Special,60,95,0,allAdjacentFoes,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.3,0.8,0,0,0,0,0,0,날카로운 바람으로 상대를 베어 공격한다. 급소에 맞기 쉽다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
airslash,에어슬래시,Air Slash,Flying,Special,75,95,0,any,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,0.9,0,0,0,0,0,0,하늘까지 베어 가르는 공기의 칼날로 공격한다. 상대를 풀죽게 만들 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
alloutpummeling,전력무쌍격렬권,All-Out Pummeling,Fighting,Physical,1,필중,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,0.3,0,0,0,0,0,0,0,Z파워로 만든 에너지 구슬을 전력으로 상대에게 부딪친다. 원래 기술에 따라 위력이 변한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
alluringvoice,매혹의보이스,Alluring Voice,Fairy,Special,80,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,천사와도 같은 노랫소리로 상대를 공격한다. 그 턴에 능력이 올라간 포켓몬을 혼란 상태로 만든다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
allyswitch,사이드체인지,Ally Switch,Psychic,Status,,필중,2,self,PRIORITY|FINISHER|TEAM_SUPPORT,선공기|마무리|팀 지원,0,0.8,0,1,0,0,3.6,0,3.5,이상한 힘으로 순간이동하여 자신과 같은 편의 위치를 바꾼다.,선공기라 복수 처리와 마무리 가치가 큽니다. / 아군 지원 가치가 높은 기술입니다.
amnesia,망각술,Amnesia,Psychic,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,머리를 비워서 순간적으로 무언가를 잊어버림으로써 자신의 특수방어를 크게 올린다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
anchorshot,앵커샷,Anchor Shot,Steel,Physical,80,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,앵커를 상대에게 휘감아서 공격한다. 상대는 도망칠 수 없게 된다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
ancientpower,원시의힘,Ancient Power,Rock,Special,60,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.3,0.8,0,0,0,0,0,0,원시의 힘으로 공격한다. 자신의 모든 능력이 오를 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
appleacid,사과산,Apple Acid,Grass,Special,80,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,새콤한 사과에서 만들어 낸 산성 액체로 공격한다. 상대의 특수방어를 떨어뜨린다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
aquacutter,아쿠아커터,Aqua Cutter,Water,Physical,70,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.5,0.9,0,0,0,0,0,0,압력을 가한 물을 칼날처럼 분사해서 상대를 베어 가른다. 급소에 맞기 쉽다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
aquajet,아쿠아제트,Aqua Jet,Water,Physical,40,100,1,normal,ACE_DAMAGE|ACE_COVERAGE|PRIORITY|FINISHER,에이스 주력 공격|에이스 견제폭|선공기|마무리,0,1.8,0.5,0,0,0,3.2,0,0,눈에 보이지 않는 굉장한 속도로 상대에게 돌진한다. 반드시 선제공격할 수 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 선공기라 복수 처리와 마무리 가치가 큽니다.
aquaring,아쿠아링,Aqua Ring,Water,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,자신의 몸 주변을 물로 만든 베일로 덮는다. 매 턴 HP를 회복한다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
aquastep,아쿠아스텝,Aqua Step,Water,Physical,80,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,물 흐르듯 민첩하고 경쾌한 발재간으로 상대를 농락하며 데미지를 준다. 자신의 스피드를 올린다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
aquatail,아쿠아테일,Aqua Tail,Water,Physical,90,90,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.8,1.1,0,0,0,0,0,0,세차게 날뛰는 거친 파도와 같이 큰 꼬리를 흔들어서 상대를 공격한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
armorcannon,아머캐논,Armor Cannon,Fire,Special,120,100,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3,1.5,0,0,0,0,0,0,자신의 갑옷을 활활 타오르는 탄환으로 발사해서 공격한다. 자신의 방어와 특수방어가 떨어진다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
armthrust,손바닥치기,Arm Thrust,Fighting,Physical,15,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,0.6,0.2,0,0,0,0,0,0,펼친 양손으로 상대를 번갈아 쳐서 공격한다. 2-5회 동안 연속으로 쓴다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
aromatherapy,아로마테라피,Aromatherapy,Grass,Status,,필중,0,allyTeam,TEAM_SUPPORT,팀 지원,0,0,0,1,0,0,0,0,3.5,기분 좋은 평온한 향기를 맡게 하여 같은 편 모두의 상태 이상을 회복한다.,아군 지원 가치가 높은 기술입니다.
aromaticmist,아로마미스트,Aromatic Mist,Fairy,Status,,필중,0,adjacentAlly,,,0,0,0,0,0,0,0,0,0.8,신비한 아로마 향으로 같은 편의 특수방어를 올린다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
assist,조수,Assist,Normal,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,서둘러서 같은 편의 도움을 받아 같은 편 포켓몬이 기억하고 있는 기술 중 하나를 쓴다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
assurance,승부굳히기,Assurance,Dark,Physical,60,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.3,0.8,0,0,0,0,0,0,그 턴에 상대가 이미 데미지를 입었다면 기술의 위력은 2배가 된다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
astonish,놀래키기,Astonish,Ghost,Physical,30,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,0.8,0.4,0,0,0,0,0,0,큰 소리 등으로 불시에 놀래켜서 공격한다. 상대를 풀죽게 만들 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
astralbarrage,아스트랄비트,Astral Barrage,Ghost,Special,120,100,0,allAdjacentFoes,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3,1.5,0,0,0,0,0,0,수많은 작은 영체를 상대에게 부딪쳐서 공격한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
attackorder,공격지령,Attack Order,Bug,Physical,90,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.8,1.1,0,0,0,0,0,0,부하를 불러내어 상대를 향해서 공격시킨다. 급소에 맞기 쉽다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
attract,헤롱헤롱,Attract,Normal,Status,,100,0,normal,,,0,0,0,0,0,0,0,0,0.8,수컷은 암컷을 암컷은 수컷을 유혹하여 헤롱헤롱하게 만든다. 상대가 기술을 쓰기 어려워진다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
aurasphere,파동탄,Aura Sphere,Fighting,Special,80,필중,0,any,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,몸속에서 파동의 힘을 끌어내 상대에게 쏜다. 공격은 반드시 명중한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
aurawheel,오라휠,Aura Wheel,Electric,Physical,110,100,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,2.8,1.4,0,0,0,0,0,0,볼주머니에 저장해둔 에너지로 공격하고 자신의 스피드를 올린다. 모르페코의 모습에 따라 타입이 바뀐다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
aurorabeam,오로라빔,Aurora Beam,Ice,Special,65,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.4,0.8,0,0,0,0,0,0,무지개색의 빔을 상대에게 발사하여 공격한다. 공격을 떨어뜨릴 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
auroraveil,오로라베일,Aurora Veil,Ice,Status,,필중,0,allySide,SCREEN_SUPPORT,벽/장막,2.2,0,0,1.5,0,0,0,0,3.5,5턴 동안 물리와 특수 기술의 데미지를 약하게 한다. 싸라기눈일 때만 쓸 수 있다.,팀 전체 생존 또는 상태 방어를 지원합니다.
autotomize,바디퍼지,Autotomize,Steel,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,몸의 쓸모없는 부분을 깎는다. 자신의 스피드를 크게 올리고 체중도 가벼워진다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
avalanche,눈사태,Avalanche,Ice,Physical,60,100,-4,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.3,0.8,0,0,0,0,0,0,상대로부터 기술을 받으면 그 상대에 대해서 기술의 위력이 2배가 된다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
axekick,발꿈치찍기,Axe Kick,Fighting,Physical,120,90,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3,1.5,0,0,0,0,0,0,발꿈치를 들어 올린 뒤 내리찍어 공격한다. 상대를 혼란시킬 때가 있다. 빗나가면 자신이 데미지를 입는다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
babydolleyes,초롱초롱눈동자,Baby-Doll Eyes,Fairy,Status,,100,1,normal,PRIORITY|FINISHER|DISRUPT,선공기|마무리|방해,0,0.8,0,0.8,0,0,3.2,1.8,0,초롱초롱한 눈동자로 상대를 바라보며 공격을 떨어뜨린다. 반드시 선제공격할 수 있다.,선공기라 복수 처리와 마무리 가치가 큽니다. / 상대 능력치를 낮춰 현재 대면 또는 후속 대면을 안정화합니다.
baddybad,아그아그존,Baddy Bad,Dark,Special,80,95,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,악함을 어필해서 공격한다. 상대의 물리공격을 약하게 만드는 이상한 장막을 만든다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
banefulbunker,토치카,Baneful Bunker,Poison,Status,,필중,4,self,PRIORITY|FINISHER|PROTECT_SCOUT,선공기|마무리|방어/정찰,0,0.8,0,2,0,0,4.4,0.8,1.4,상대의 공격을 막음과 동시에 접촉한 상대에게 독을 퍼뜨린다.,선공기라 복수 처리와 마무리 가치가 큽니다. / 방어/정찰로 턴 종료 효과와 상대 행동 확인 가치가 있습니다.
barbbarrage,독침천발,Barb Barrage,Poison,Physical,60,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.3,0.8,0,0,0,0,0,0,무수히 많은 독침으로 공격한다. 상대를 독 상태로 만들 때가 있다. 상대가 상태 이상인 경우 위력이 2배가 된다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
barrage,구슬던지기,Barrage,Normal,Physical,15,85,0,normal,ACE_DAMAGE,에이스 주력 공격,0,0.3,0.2,0,0,0,0,0,0,둥근 것을 상대에게 내던져서 공격한다. 2-5회 동안 연속으로 쓴다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
barrier,배리어,Barrier,Psychic,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,튼튼한 장막을 만들어 자신의 방어를 크게 올린다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
batonpass,배턴터치,Baton Pass,Normal,Status,,필중,0,self,PIVOT,피벗/교체 연결,1.5,0.4,0,0,4.5,0,0,0,0,교대 포켓몬과 바뀐다. 능력 변화는 바뀐 포켓몬이 그대로 이어받는다.,공격/보조 후 유리 대면으로 연결하는 피벗 기술입니다.
beakblast,부리캐논,Beak Blast,Flying,Physical,100,100,-3,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,2.7,1.3,0,0,0,0,0,0,먼저 부리를 가열시킨 다음 공격을 날린다. 가열 중에 만지면 화상을 입는다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
beatup,집단구타,Beat Up,Dark,Physical,,100,0,normal,,,0,0,0,0,0,0,0,0,0,같은 편 전원이 공격한다. 동료 포켓몬이 많을수록 기술의 공격 횟수가 증가한다.,
behemothbash,거수탄,Behemoth Bash,Steel,Physical,100,100,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,2.7,1.3,0,0,0,0,0,0,거대한 방패가 되어 부딪친다. 상대가 다이맥스 중이면 데미지가 2배가 된다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
behemothblade,거수참,Behemoth Blade,Steel,Physical,100,100,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,2.7,1.3,0,0,0,0,0,0,거대한 검이 되어 베어버린다. 상대가 다이맥스 중이면 데미지가 2배가 된다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
belch,트림,Belch,Poison,Special,120,90,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3,1.5,0,0,0,0,0,0,상대를 향해 트림을 하여 데미지를 준다. 나무열매를 먹지 않으면 쓸 수 없다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
bellydrum,배북,Belly Drum,Normal,Status,,필중,0,self,,,0,0,0,0,0,0,0,0,0.8,자신의 HP를 최대 HP의 절반만큼 감소시켜 자신의 공격을 최대로 올린다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
bestow,기프트패스,Bestow,Normal,Status,,필중,0,normal,,,0,0,0,0,0,0,0,0,0.8,상대가 도구를 지니고 있지 않을 때 자신이 지니고 있는 도구를 상대에게 건넨다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
bide,참기,Bide,Normal,Physical,,필중,1,self,PRIORITY|FINISHER,선공기|마무리,0,0.8,0,0,0,0,3.2,0,0,2턴 동안 공격을 견뎌 입은 데미지를 2배로 만들어 상대에게 돌려준다.,선공기라 복수 처리와 마무리 가치가 큽니다.
bind,조이기,Bind,Normal,Physical,15,85,0,normal,ACE_DAMAGE,에이스 주력 공격,0,0.3,0.2,0,0,0,0,0,0,긴 몸이나 덩굴 등을 써서 4-5턴 동안 상대를 조여 공격한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
bite,물기,Bite,Dark,Physical,60,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.3,0.8,0,0,0,0,0,0,날카롭고 뾰족한 이빨로 물어서 공격한다. 상대를 풀죽게 만들 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
bitterblade,원념의칼,Bitter Blade,Fire,Physical,90,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.8,1.1,0,0,0,0,0,0,현세의 미련을 칼끝에 담아 베어 버린다. 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
bittermalice,천추지한,Bitter Malice,Ghost,Special,75,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,0.9,0,0,0,0,0,0,등골이 서늘해지는 원념으로 공격해서 상대의 공격을 떨어뜨린다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
blackholeeclipse,블랙홀이클립스,Black Hole Eclipse,Dark,Physical,1,필중,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,0.3,0,0,0,0,0,0,0,Z파워로 어둠의 에너지를 모아 전력으로 상대를 끌어당긴다. 원래 기술에 따라 위력이 변한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
blastburn,블라스트번,Blast Burn,Fire,Special,150,90,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3.2,1.5,0,0,0,0,0,0,폭발하는 불꽃으로 상대를 태워서 공격한다. 다음 턴은 움직일 수 없다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
blazekick,블레이즈킥,Blaze Kick,Fire,Physical,85,90,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.7,1.1,0,0,0,0,0,0,공격한 상대를 화상 상태로 만들 때가 있다. 급소에도 맞기 쉽다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
blazingtorque,Blazing Torque,Blazing Torque,Fire,Physical,80,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,30% chance to burn the target.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
bleakwindstorm,찬바람폭풍,Bleakwind Storm,Flying,Special,100,80,0,allAdjacentFoes,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,2.7,1.3,0,0,0,0,0,0,심신을 모두 떨게 만드는 차갑고도 거친 바람으로 공격한다. 상대의 스피드를 떨어뜨릴 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
blizzard,눈보라,Blizzard,Ice,Special,110,70,0,allAdjacentFoes,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,2.8,1.4,0,0,0,0,0,0,세찬 눈보라를 상대에게 내뿜어 공격한다. 얼음 상태로 만들 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
block,블록,Block,Normal,Status,,필중,0,normal,,,0,0,0,0,0,0,0,0,0.8,양팔을 벌려 막아서서 상대의 도주로를 가로막아 도망칠 수 없게 한다.,변화기이므로 세부 효과 미분류 상태에서는 지원 후보로 보류합니다.
bloodmoon,블러드문,Blood Moon,Normal,Special,140,100,0,normal,ACE_DAMAGE|RISKY_NUKE,에이스 주력 공격|고위험 고화력,0,2.9,1.5,0,0,0,0,0,0,피와 같이 붉은 보름달에서 혼신의 기백을 발사한다. 이 기술은 2회 연속으로 쓸 수 없다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
bloomdoom,블룸샤인엑스트라,Bloom Doom,Grass,Physical,1,필중,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,0.3,0,0,0,0,0,0,0,Z파워로 화초들의 에너지를 빌려 전력으로 상대를 공격한다. 원래 기술에 따라 위력이 변한다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
blueflare,푸른불꽃,Blue Flare,Fire,Special,130,85,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3.2,1.5,0,0,0,0,0,0,아름다우면서도 격렬한 푸른불꽃으로 상대를 둘러싸서 공격한다. 화상 상태로 만들 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
bodypress,바디프레스,Body Press,Fighting,Physical,80,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.6,1,0,0,0,0,0,0,몸을 부딪쳐서 공격한다. 방어가 높을수록 주는 데미지가 올라간다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
bodyslam,누르기,Body Slam,Normal,Physical,85,100,0,normal,ACE_DAMAGE,에이스 주력 공격,0,1.4,1.1,0,0,0,0,0,0,몸 전체로 상대를 덮쳐눌러 공격한다. 마비 상태로 만들 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
boltbeak,전격부리,Bolt Beak,Electric,Physical,85,100,0,normal,ACE_DAMAGE|ACE_COVERAGE,에이스 주력 공격|에이스 견제폭,0,1.7,1.1,0,0,0,0,0,0,전기를 두른 부리로 찌른다. 상대보다 먼저 공격하면 기술의 위력은 2배가 된다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다.
boltstrike,뇌격,Bolt Strike,Electric,Physical,130,85,0,normal,ACE_DAMAGE|RISKY_NUKE|ACE_COVERAGE,에이스 주력 공격|고위험 고화력|에이스 견제폭,0,3.2,1.5,0,0,0,0,0,0,방대한 전기를 몸에 둘러 상대에게 돌진해서 공격한다. 마비 상태로 만들 때가 있다.,공격 기술이라 에이스/스위퍼의 직접 피해 후보입니다. / 고위력 기술이라 돌파 가치가 높습니다.
