"id","namespace","path","english_name","korean_name","battle_category","battle_usable","tags","source_jars"
"another_furniture:bamboo_shelf","another_furniture","bamboo_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:bamboo_shutter","another_furniture","bamboo_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:bamboo_table","another_furniture","bamboo_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_bench","another_furniture","birch_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_chair","another_furniture","birch_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_drawer","another_furniture","birch_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_flower_box","another_furniture","birch_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_grandfather_clock","another_furniture","birch_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_shelf","another_furniture","birch_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_shutter","another_furniture","birch_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:birch_table","another_furniture","birch_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:black_curtain","another_furniture","black_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:black_lamp","another_furniture","black_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:black_sofa","another_furniture","black_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:black_stool","another_furniture","black_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:black_tall_stool","another_furniture","black_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:blue_curtain","another_furniture","blue_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:blue_lamp","another_furniture","blue_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:blue_sofa","another_furniture","blue_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:blue_stool","another_furniture","blue_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:blue_tall_stool","another_furniture","blue_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:brown_curtain","another_furniture","brown_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:brown_lamp","another_furniture","brown_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:brown_sofa","another_furniture","brown_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:brown_stool","another_furniture","brown_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:brown_tall_stool","another_furniture","brown_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_bench","another_furniture","cherry_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_chair","another_furniture","cherry_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_drawer","another_furniture","cherry_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_flower_box","another_furniture","cherry_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_grandfather_clock","another_furniture","cherry_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_shelf","another_furniture","cherry_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_shutter","another_furniture","cherry_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cherry_table","another_furniture","cherry_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_bench","another_furniture","crimson_bench","","","unverified","false","another_furniture:benches;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_chair","another_furniture","crimson_chair","","","unverified","false","another_furniture:chairs;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_drawer","another_furniture","crimson_drawer","","","unverified","false","another_furniture:drawers;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_flower_box","another_furniture","crimson_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_grandfather_clock","another_furniture","crimson_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_lattice","another_furniture","crimson_lattice","","","unverified","false","minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_planter_box","another_furniture","crimson_planter_box","","","unverified","false","minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_shelf","another_furniture","crimson_shelf","","","unverified","false","another_furniture:shelves;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_shutter","another_furniture","crimson_shutter","","","unverified","false","another_furniture:shutters;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:crimson_table","another_furniture","crimson_table","","","unverified","false","another_furniture:tables;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cyan_curtain","another_furniture","cyan_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cyan_lamp","another_furniture","cyan_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cyan_sofa","another_furniture","cyan_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cyan_stool","another_furniture","cyan_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:cyan_tall_stool","another_furniture","cyan_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_bench","another_furniture","dark_oak_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_chair","another_furniture","dark_oak_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_drawer","another_furniture","dark_oak_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_flower_box","another_furniture","dark_oak_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_grandfather_clock","another_furniture","dark_oak_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_shelf","another_furniture","dark_oak_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_shutter","another_furniture","dark_oak_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:dark_oak_table","another_furniture","dark_oak_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:furniture_hammer","another_furniture","furniture_hammer","Hammer","망치","unverified","false","another_furniture:furniture_hammers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:gray_curtain","another_furniture","gray_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:gray_lamp","another_furniture","gray_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:gray_sofa","another_furniture","gray_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:gray_stool","another_furniture","gray_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:gray_tall_stool","another_furniture","gray_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:green_curtain","another_furniture","green_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:green_lamp","another_furniture","green_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:green_sofa","another_furniture","green_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:green_stool","another_furniture","green_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:green_tall_stool","another_furniture","green_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_bench","another_furniture","jungle_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_chair","another_furniture","jungle_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_drawer","another_furniture","jungle_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_flower_box","another_furniture","jungle_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_grandfather_clock","another_furniture","jungle_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_shelf","another_furniture","jungle_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_shutter","another_furniture","jungle_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:jungle_table","another_furniture","jungle_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_blue_curtain","another_furniture","light_blue_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_blue_lamp","another_furniture","light_blue_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_blue_sofa","another_furniture","light_blue_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_blue_stool","another_furniture","light_blue_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_blue_tall_stool","another_furniture","light_blue_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_gray_curtain","another_furniture","light_gray_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_gray_lamp","another_furniture","light_gray_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_gray_sofa","another_furniture","light_gray_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_gray_stool","another_furniture","light_gray_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:light_gray_tall_stool","another_furniture","light_gray_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:lime_curtain","another_furniture","lime_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:lime_lamp","another_furniture","lime_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:lime_sofa","another_furniture","lime_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:lime_stool","another_furniture","lime_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:lime_tall_stool","another_furniture","lime_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:magenta_curtain","another_furniture","magenta_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:magenta_lamp","another_furniture","magenta_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:magenta_sofa","another_furniture","magenta_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:magenta_stool","another_furniture","magenta_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:magenta_tall_stool","another_furniture","magenta_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_bench","another_furniture","mangrove_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_chair","another_furniture","mangrove_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_drawer","another_furniture","mangrove_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_flower_box","another_furniture","mangrove_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_grandfather_clock","another_furniture","mangrove_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_shelf","another_furniture","mangrove_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_shutter","another_furniture","mangrove_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:mangrove_table","another_furniture","mangrove_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_bench","another_furniture","oak_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_chair","another_furniture","oak_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_drawer","another_furniture","oak_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_flower_box","another_furniture","oak_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_grandfather_clock","another_furniture","oak_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_shelf","another_furniture","oak_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_shutter","another_furniture","oak_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:oak_table","another_furniture","oak_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:orange_curtain","another_furniture","orange_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:orange_lamp","another_furniture","orange_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:orange_sofa","another_furniture","orange_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:orange_stool","another_furniture","orange_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:orange_tall_stool","another_furniture","orange_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:pink_curtain","another_furniture","pink_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:pink_lamp","another_furniture","pink_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:pink_sofa","another_furniture","pink_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:pink_stool","another_furniture","pink_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:pink_tall_stool","another_furniture","pink_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:purple_curtain","another_furniture","purple_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:purple_lamp","another_furniture","purple_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:purple_sofa","another_furniture","purple_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:purple_stool","another_furniture","purple_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:purple_tall_stool","another_furniture","purple_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:red_curtain","another_furniture","red_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:red_lamp","another_furniture","red_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:red_sofa","another_furniture","red_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:red_stool","another_furniture","red_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:red_tall_stool","another_furniture","red_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_bench","another_furniture","spruce_bench","","","unverified","false","another_furniture:benches","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_chair","another_furniture","spruce_chair","","","unverified","false","another_furniture:chairs","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_drawer","another_furniture","spruce_drawer","","","unverified","false","another_furniture:drawers","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_flower_box","another_furniture","spruce_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_grandfather_clock","another_furniture","spruce_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_shelf","another_furniture","spruce_shelf","","","unverified","false","another_furniture:shelves","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_shutter","another_furniture","spruce_shutter","","","unverified","false","another_furniture:shutters","another_furniture-neoforge-4.0.2.jar"
"another_furniture:spruce_table","another_furniture","spruce_table","","","unverified","false","another_furniture:tables","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_bench","another_furniture","warped_bench","","","unverified","false","another_furniture:benches;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_chair","another_furniture","warped_chair","","","unverified","false","another_furniture:chairs;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_drawer","another_furniture","warped_drawer","","","unverified","false","another_furniture:drawers;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_flower_box","another_furniture","warped_flower_box","","","unverified","false","another_furniture:flower_boxes","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_grandfather_clock","another_furniture","warped_grandfather_clock","","","unverified","false","another_furniture:grandfather_clocks;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_lattice","another_furniture","warped_lattice","","","unverified","false","minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_planter_box","another_furniture","warped_planter_box","","","unverified","false","minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_shelf","another_furniture","warped_shelf","","","unverified","false","another_furniture:shelves;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_shutter","another_furniture","warped_shutter","","","unverified","false","another_furniture:shutters;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:warped_table","another_furniture","warped_table","","","unverified","false","another_furniture:tables;minecraft:non_flammable_wood","another_furniture-neoforge-4.0.2.jar"
"another_furniture:white_curtain","another_furniture","white_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:white_lamp","another_furniture","white_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:white_sofa","another_furniture","white_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:white_stool","another_furniture","white_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:white_tall_stool","another_furniture","white_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:yellow_curtain","another_furniture","yellow_curtain","","","unverified","false","another_furniture:curtains","another_furniture-neoforge-4.0.2.jar"
"another_furniture:yellow_lamp","another_furniture","yellow_lamp","","","unverified","false","another_furniture:lamps","another_furniture-neoforge-4.0.2.jar"
"another_furniture:yellow_sofa","another_furniture","yellow_sofa","","","unverified","false","another_furniture:sofas","another_furniture-neoforge-4.0.2.jar"
"another_furniture:yellow_stool","another_furniture","yellow_stool","","","unverified","false","another_furniture:stools","another_furniture-neoforge-4.0.2.jar"
"another_furniture:yellow_tall_stool","another_furniture","yellow_tall_stool","","","unverified","false","another_furniture:tall_stools","another_furniture-neoforge-4.0.2.jar"
"ars_elemental:flashpine_pod","ars_elemental","flashpine_pod","","","unverified","false","quark:seed_pouch_holdable;quark:seed_pouch_vertical_placement","Quark-4.1-476.jar"
"ars_nouveau:bastion_pod","ars_nouveau","bastion_pod","","","unverified","false","quark:seed_pouch_holdable;quark:seed_pouch_vertical_placement","Quark-4.1-476.jar"
"ars_nouveau:bombegranate_pod","ars_nouveau","bombegranate_pod","","","unverified","false","quark:seed_pouch_holdable;quark:seed_pouch_vertical_placement","Quark-4.1-476.jar"
"ars_nouveau:frostaya_pod","ars_nouveau","frostaya_pod","","","unverified","false","quark:seed_pouch_holdable;quark:seed_pouch_vertical_placement","Quark-4.1-476.jar"
"ars_nouveau:mendosteen_pod","ars_nouveau","mendosteen_pod","","","unverified","false","quark:seed_pouch_holdable;quark:seed_pouch_vertical_placement","Quark-4.1-476.jar"
"atmospheric:aloe_gel_bottle","atmospheric","aloe_gel_bottle","","","unverified","false","create:upright_on_belt","create-1.21.1-6.0.10.jar"
"atmospheric:orange_pudding","atmospheric","orange_pudding","","","unverified","false","create:upright_on_belt","create-1.21.1-6.0.10.jar"
"atmospheric:orange_sorbet","atmospheric","orange_sorbet","","","unverified","false","create:upright_on_belt","create-1.21.1-6.0.10.jar"
"atmospheric:passion_fruit_sorbet","atmospheric","passion_fruit_sorbet","","","unverified","false","create:upright_on_belt","create-1.21.1-6.0.10.jar"
"autumnity:foul_soup","autumnity","foul_soup","","","unverified","false","create:upright_on_belt","create-1.21.1-6.0.10.jar"
"autumnity:sap_bottle","autumnity","sap_bottle","","","unverified","false","create:upright_on_belt","create-1.21.1-6.0.10.jar"
